,original_title,genres,vote_average,category
58,Le confessionnal,"Thriller, Drama, Mystery",6.5,Good
59,The Indian in the Cupboard,"Adventure, Family, Fantasy",5.9,Good
60,Eye for an Eye,"Drama, Thriller",5.8,Good
61,Mr. Holland's Opus,"Music, Drama, Family",6.9,Good
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,6.2,Good
63,Two If by Sea,"Comedy, Romance",4.5,Bad
64,Bio-Dome,Comedy,4.4,Bad
65,Lawnmower Man 2: Beyond Cyberspace,"Action, Science Fiction",3.05,Bad
66,Two Bits,"Drama, Family",5.4,Good
67,Gazon maudit,"Comedy, Romance",6,Good
68,Friday,Comedy,7,Good
69,From Dusk Till Dawn,"Horror, Action, Thriller, Crime",6.9,Good
70,Fair Game,"Action, Thriller, Romance",4.1,Bad
71,Kicking and Screaming,"Comedy, Drama, Romance",7,Good
72,Les misérables,"Drama, History",6.6,Good
73,Bed of Roses,"Drama, Romance",5.1,Good
74,Big Bully,"Comedy, Family",3.9,Bad
75,Screamers,"Horror, Science Fiction",6.1,Good
76,Nico Icon,Documentary,7.3,Good
77,The Crossing Guard,"Drama, Thriller",6.1,Good
78,The Juror,"Drama, Thriller",5.5,Good
79,بادکنک سفید,"Family, Drama",7.5,Good
80,Things to Do in Denver When You're Dead,"Drama, Crime",6.7,Good
81,Antonia,"Drama, Comedy",7.2,Good
82,Once Upon a Time... When We Were Colored,"Romance, Drama",4.5,Bad
84,Angels and Insects,"Drama, Romance",6.3,Good
85,White Squall,"Action, Drama",6.3,Good
86,Dunston Checks In,"Adventure, Comedy, Family",5.1,Good
87,Black Sheep,Comedy,6,Good
88,Nick of Time,"Crime, Drama, Thriller",6.1,Good
89,The Journey of August King,Drama,6.7,Good
90,Mary Reilly,"Drama, Horror, Thriller, Romance",5.7,Good
91,Vampire in Brooklyn,"Comedy, Horror, Romance",4.5,Bad
92,Beautiful Girls,"Comedy, Drama, Romance",6.6,Good
93,Broken Arrow,"Action, Adventure, Drama, Thriller",5.7,Good
94,A Midwinter's Tale,Comedy,7.5,Good
95,La Haine,Drama,7.9,Good
96,Shopping,"Action, Adventure, Drama, Science Fiction, Thriller",5.6,Good
97,Heidi Fleiss: Hollywood Madam,Documentary,6.8,Good
98,City Hall,"Drama, Thriller",6,Good
99,Bottle Rocket,"Comedy, Crime, Drama",6.8,Good
100,Mr. Wrong,"Comedy, Romance",3.3,Bad
101,Unforgettable,"Drama, Mystery, Science Fiction, Thriller",5.3,Good
102,Happy Gilmore,Comedy,6.5,Good
103,The Bridges of Madison County,"Drama, Romance",7.3,Good
104,Keiner liebt mich,"Drama, Comedy, Family",5.1,Good
105,Muppet Treasure Island,"Action, Comedy, Music, Family, Adventure",6.5,Good
106,Catwalk,Documentary,7,Good
108,Braveheart,"Action, Drama, History, War",7.7,Good
109,Taxi Driver,"Crime, Drama",8.1,Very Good
110,紅番區,"Crime, Action, Comedy, Thriller",6.5,Good
111,Before and After,"Drama, Thriller",5.8,Good
112,Margaret's Museum,Drama,7.5,Good
113,Le Bonheur est dans le pré,Comedy,7,Good
114,Anne Frank Remembered,"Documentary, Drama, Foreign",7.3,Good
115,The Young Poisoner's Handbook,"Comedy, Crime, Drama",6.9,Good
116,If Lucy Fell,"Comedy, Romance",5.4,Good
117,Steal Big Steal Little,"Comedy, Drama",5.1,Good
118,Race the Sun,"Action, Adventure, Comedy, Drama, Family",5.2,Good
119,The Boys of St. Vincent,Drama,7,Good
120,Boomerang,"Comedy, Romance",5.4,Good
121,重慶森林,"Drama, Comedy, Romance",7.9,Good
122,L'uomo delle stelle,"Drama, Romance",6.8,Good
123,Flirting with Disaster,"Comedy, Romance",6.3,Good
124,The NeverEnding Story III,Fantasy,4.4,Bad
125,صمت القصور,Drama,4.3,Bad
127,Pie in the Sky,"Comedy, Romance",7,Good
128,Angela,"Comedy, Drama",5.6,Good
129,Frankie Starlight,"Drama, Romance, War",5.4,Good
130,Jade,"Action, Thriller, Mystery, Romance",5.1,Good
131,Nueba Yol,"Comedy, Drama, Romance",5.5,Good
133,Down Periscope,Comedy,5.6,Good
134,From the Journals of Jean Seberg,Documentary,6.5,Good
135,Man of the Year,Comedy,3.8,Bad
136,The Neon Bible,Drama,7.2,Good
138,Up Close & Personal,"Drama, Romance",5.9,Good
139,The Birdcage,Comedy,6.7,Good
140,Gospa,Drama,7,Good
141,The Brothers McMullen,"Comedy, Drama, Romance",6.3,Good
142,Bad Boys,"Action, Comedy, Crime, Thriller",6.5,Good
143,The Amazing Panda Adventure,"Action, Adventure, Drama, Family",5,Good
144,The Basketball Diaries,"Drama, Crime",7.2,Good
145,An Awfully Big Adventure,"Romance, Drama, Comedy",6,Good
146,Amateur,"Crime, Comedy, Drama, Thriller",6.5,Good
147,Apollo 13,Drama,7.3,Good
148,Rob Roy,Adventure,6.5,Good
149,The Addiction,"Drama, Horror",6.4,Good
150,Batman Forever,"Action, Crime, Fantasy",5.2,Good
151,Belle de jour,"Drama, Romance",7.3,Good
152,Beyond Rangoon,"Drama, Thriller",6.4,Good
153,Blue in the Face,Comedy,6.8,Good
154,Canadian Bacon,"Action, Comedy",5.9,Good
155,Casper,"Fantasy, Comedy, Family",6,Good
156,Clockers,"Mystery, Crime, Drama",6.8,Good
157,Congo,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",5,Good
158,Crimson Tide,"Action, Thriller, Drama",7,Good
159,Crumb,Documentary,7.6,Good
160,Desperado,"Thriller, Action, Crime",6.8,Good
161,Devil in a Blue Dress,"Drama, Mystery, Thriller",6.3,Good
162,Die Hard: With a Vengeance,"Action, Thriller",6.9,Good
163,The Doom Generation,"Action, Comedy, Crime, Drama",5.6,Good
165,First Knight,"Action, Adventure, Drama, Romance",5.9,Good
166,Free Willy 2 - The Adventure Home,Adventure,5.5,Good
167,Hackers,"Action, Crime, Thriller, Drama",6.2,Good
168,Jeffrey,"Comedy, Drama, Romance",6.5,Good
169,Johnny Mnemonic,"Adventure, Action, Drama, Science Fiction, Thriller",5.5,Good
170,Judge Dredd,Science Fiction,5.4,Good
171,Jury Duty,"Comedy, Drama",4,Bad
172,Kids,"Drama, Crime",6.8,Good
173,Living in Oblivion,"Drama, Comedy",7.2,Good
174,Lord of Illusions,"Mystery, Horror, Thriller",5.9,Good
175,Love & Human Remains,"Comedy, Drama",7,Good
176,Mad Love,"Drama, Family, Romance",5.5,Good
177,Mallrats,"Romance, Comedy",6.8,Good
178,Mighty Morphin Power Rangers: The Movie,"Action, Adventure, Science Fiction, Family, Fantasy",5.2,Good
179,Moonlight and Valentino,"Comedy, Drama, Romance",5.6,Good
180,Mute Witness,"Thriller, Foreign",6.4,Good
181,Nadja,"Horror, Thriller",5.9,Good
182,The Net,"Crime, Drama, Mystery, Thriller, Action",5.6,Good
183,Nine Months,Comedy,5.5,Good
184,Party Girl,Comedy,5.8,Good
185,The Prophecy,"Fantasy, Horror, Thriller",6.4,Good
187,Safe,Drama,7.2,Good
188,The Scarlet Letter,"Drama, History, Romance",5.5,Good
189,The Show,Documentary,5.3,Good
190,Showgirls,Drama,4.9,Bad
191,Smoke,"Comedy, Drama",7.2,Good
192,Something to Talk About,Comedy,5.7,Good
193,Species,"Science Fiction, Horror, Action",5.5,Good
194,The Stars Fell on Henrietta,Drama,6.6,Good
195,Strange Days,"Crime, Drama, Science Fiction, Thriller",6.8,Good
196,Les parapluies de Cherbourg,"Drama, Romance",7.6,Good
197,The Tie That Binds,Thriller,4.6,Bad
198,Three Wishes,"Drama, Fantasy",6.1,Good
199,Total Eclipse,"Drama, Romance",6.5,Good
200,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,6.3,Good
201,Under Siege 2: Dark Territory,"Action, Thriller",5.6,Good
202,Unstrung Heroes,"Comedy, Drama, Family",6.4,Good
203,Unzipped,Documentary,6,Good
204,A Walk in the Clouds,"Drama, Romance",6.5,Good
205,Waterworld,"Adventure, Action",5.9,Good
206,White Man's Burden,Drama,5.1,Good
207,Wild Bill,"Action, Western",5.9,Good
208,The Browning Version,Drama,6,Good
209,Bushwhacked,"Adventure, Action, Comedy, Crime, Family",4.9,Bad
210,Утомлённые солнцем,Drama,6.7,Good
211,Before the Rain,"Drama, War",7.7,Good
212,Before Sunrise,"Drama, Romance",7.7,Good
213,Billy Madison,Comedy,6.2,Good
214,The Babysitter,"Drama, Thriller",4.7,Bad
215,Boys on the Side,"Comedy, Drama",6.3,Good
216,The Cure,"Drama, Family",7.2,Good
217,Castle Freak,"Thriller, Drama, Horror, Mystery",5.8,Good
218,Circle of Friends,"Drama, Family, Romance",6.5,Good
219,Clerks,Comedy,7.4,Good
220,Don Juan DeMarco,"Romance, Drama, Comedy",6.3,Good
221,Disclosure,"Drama, Thriller, Crime, Mystery, Romance",5.9,Good
222,Dream Man,Thriller,3.05,Bad
223,Drop Zone,"Action, Adventure, Thriller",5.1,Good
224,Destiny Turns on the Radio,"Crime, Comedy, Fantasy",5.3,Good
225,Death and the Maiden,"Drama, Thriller, Mystery",7.1,Good
226,Dolores Claiborne,"Crime, Drama, Mystery",7.1,Good
227,Dumb and Dumber,Comedy,6.5,Good
228,飲食男女,"Comedy, Drama, Romance",7.5,Good
229,Exotica,"Drama, Mystery",6.5,Good
230,Exit to Eden,"Thriller, Comedy, Crime, Romance",4.3,Bad
231,Ed Wood,"Comedy, Drama, History",7.3,Good
232,French Kiss,"Comedy, Romance",6.2,Good
233,Forget Paris,"Comedy, Drama, Romance",6.1,Good
234,Far from Home: The Adventures of Yellow Dog,"Action, Adventure, Drama, Family",5.6,Good
235,A Goofy Movie,"Romance, Animation, Family, Comedy, Adventure",6.7,Good
236,Hideaway,"Drama, Thriller",5,Good
237,Fluke,"Drama, Family, Fantasy",6.6,Good
238,Farinelli,"History, Drama",5.9,Good
239,Gordy,"Drama, Family, Fantasy",3.05,Bad
240,Gumby: The Movie,"Fantasy, Animation, Science Fiction, Family",5,Good
241,The Glass Shield,"Drama, Action, Thriller, Crime",5.4,Good
242,Hoop Dreams,Documentary,7.7,Good
243,Heavenly Creatures,"Drama, Fantasy",6.9,Good
244,Houseguest,"Comedy, Family",6,Good
245,Immortal Beloved,"Drama, Music, Romance",6.9,Good
246,Heavyweights,"Comedy, Family, Drama",6,Good
247,The Hunted,"Action, Thriller",6,Good
248,I.Q.,"Comedy, Drama, Romance",5.9,Good
249,Interview with the Vampire,"Horror, Romance",7.2,Good
250,Jefferson in Paris,"Drama, Romance",5.2,Good
251,The Jerky Boys,"Comedy, Crime",4.8,Bad
252,Junior,"Comedy, Family, Romance",4.7,Bad
253,Just Cause,"Action, Drama, Mystery, Thriller",6,Good
254,A Kid in King Arthur's Court,"Adventure, Fantasy, Comedy, Science Fiction, Family",4.3,Bad
255,Kiss of Death,"Action, Crime, Drama, Thriller",5.7,Good
256,Star Wars,"Adventure, Action, Science Fiction",8.1,Very Good
257,Little Women,"Drama, Romance",7,Good
258,A Little Princess,"Drama, Family, Fantasy",7.4,Good
259,Ladybird Ladybird,Drama,7.4,Good
260,L'Enfer,"Crime, Drama",6.6,Good
261,Como agua para chocolate,"Drama, Romance",6.6,Good
262,Legends of the Fall,"Adventure, Drama, Romance, War",7.2,Good
263,Major Payne,"Adventure, Comedy, Family",6.1,Good
264,Little Odessa,"Action, Drama",6.4,Good
265,Mi Vida Loca,"Crime, Drama",5.7,Good
266,Love Affair,"Drama, Romance",4.3,Bad
267,Losing Isaiah,Drama,6.4,Good
268,The Madness of King George,"Comedy, Drama, History",6.7,Good
269,Frankenstein,"Drama, Horror, Science Fiction, Romance",6.1,Good
270,Man of the House,"Action, Comedy, Family",5.1,Good
271,Mixed Nuts,"Comedy, Drama, Romance",5.2,Good
272,Milk Money,"Comedy, Romance",5.6,Good
273,Miracle on 34th Street,"Fantasy, Drama, Family",6.4,Good
274,Miami Rhapsody,"Comedy, Romance",5.6,Good
275,My Family,"Comedy, Drama",7,Good
276,Murder in the First,"Crime, Drama",6.9,Good
277,Nobody's Fool,"Drama, Comedy",7,Good
278,Nell,"Drama, Thriller",6.1,Good
279,New Jersey Drive,"Crime, Drama",6.9,Good
281,Beyond Bedlam,Horror,4,Bad
282,Nemesis 2 - Nebula,"Science Fiction, Action, Thriller",4.6,Bad
283,Nina Takes a Lover,"Drama, Romance",7.4,Good
284,Natural Born Killers,"Crime, Thriller, Drama",6.9,Good
285,Only You,"Comedy, Drama, Romance",6.4,Good
286,Once Were Warriors,Drama,7.6,Good
287,Poison Ivy II: Lily,"Drama, Romance, Thriller",4.6,Bad
288,Outbreak,"Action, Drama, Science Fiction, Thriller",6.4,Good
289,Léon,"Thriller, Crime, Drama",8.2,Very Good
290,The Perez Family,"Comedy, Drama, Romance",6.6,Good
291,A Pyromaniac's Love Story,"Comedy, Drama, Romance",7,Good
292,Pulp Fiction,"Thriller, Crime",8.3,Very Good
293,Panther,Drama,6.4,Good
294,Pushing Hands,"Comedy, Drama",6.1,Good
295,Priest,"Drama, Romance",6.4,Good
296,Quiz Show,"History, Drama",7.1,Good
297,Picture Bride,"Drama, History",7.4,Good
298,La Reine Margot,"Drama, History",7,Good
299,The Quick and the Dead,"Action, Western",6.2,Good
300,Roommates,"Drama, Comedy",6.4,Good
301,Prêt-à-Porter,"Drama, Comedy",5.3,Good
302,Trois couleurs : Rouge,"Drama, Mystery, Romance",7.8,Good
303,Trois couleurs : Bleu,"Drama, Music, Mystery",7.7,Good
304,Trois couleurs : Blanc,"Comedy, Drama, Mystery",7.3,Good
305,Pao Da Shuang Deng,Drama,7,Good
306,Rent-a-Kid,"Comedy, Family, TV Movie",5.1,Good
307,Relative Fear,"Horror, Drama",4.7,Bad
308,Stuart Saves His Family,"Comedy, Drama",5,Good
309,The Swan Princess,Animation,6.5,Good
310,The Secret of Roan Inish,"Drama, Family, Fantasy",6.1,Good
311,The Specialist,"Action, Thriller",5.5,Good
312,Stargate,"Action, Adventure, Science Fiction",6.8,Good
313,The Santa Clause,"Fantasy, Drama, Comedy, Family",6.3,Good
314,The Shawshank Redemption,"Drama, Crime",8.5,Very Good
315,Shallow Grave,"Crime, Thriller",7,Good
316,Suture,"Drama, Thriller",6,Good
317,Fresa y chocolate,"Comedy, Drama",7.1,Good
318,Swimming with Sharks,"Crime, Comedy",6.7,Good
319,The Sum of Us,"Comedy, Drama, Romance",6,Good
320,Senior Trip,Comedy,5.7,Good
321,活着,"Drama, Romance, War",7.7,Good
322,Tank Girl,"Action, Comedy, Fantasy, Science Fiction",5.5,Good
323,Tales from the Crypt: Demon Knight,"Horror, Comedy, Thriller",6.7,Good
324,Star Trek: Generations,"Science Fiction, Action, Adventure, Thriller",6.4,Good
325,Tales from the Hood,"Crime, Horror, Thriller",5.4,Good
326,Tom & Viv,"Drama, Romance",5.8,Good
327,Village of the Damned,"Thriller, Horror, Science Fiction",5.6,Good
328,Tommy Boy,Comedy,6.8,Good
329,Vanya on 42nd Street,"Drama, Romance",6.1,Good
330,The Underneath,"Thriller, Crime",5.6,Good
331,The Walking Dead,"Drama, War",6.6,Good
332,What's Eating Gilbert Grape,"Romance, Drama",7.5,Good
333,Virtuosity,"Action, Crime, Science Fiction, Thriller",5.4,Good
334,While You Were Sleeping,"Comedy, Drama, Romance",6.5,Good
335,The War,Drama,6.3,Good
336,Double Happiness,"Comedy, Romance",5.5,Good
337,Muriel's Wedding,"Drama, Comedy, Romance",6.9,Good
338,The Baby-Sitters Club,"Comedy, Drama, Family",5.3,Good
339,Ace Ventura: Pet Detective,"Comedy, Mystery",6.4,Good
340,"The Adventures of Priscilla, Queen of the Desert","Drama, Comedy",7.2,Good
341,Backbeat,"Drama, Music",6.2,Good
342,Bitter Moon,"Thriller, Drama, Romance",7,Good
343,Bullets Over Broadway,"Action, Comedy, Thriller",7,Good
344,Clear and Present Danger,"Action, Drama, Thriller",6.4,Good
345,The Client,"Drama, Thriller, Crime, Mystery",6.4,Good
346,"Corrina, Corrina","Comedy, Drama, Family, Romance",6.4,Good
347,Crooklyn,"Comedy, Drama",6.7,Good
348,The Crow,"Fantasy, Action, Thriller",7.3,Good
349,Cobb,Drama,6.1,Good
350,The Flintstones,"Fantasy, Comedy, Family",5,Good
351,Forrest Gump,"Comedy, Drama, Romance",8.2,Very Good
352,Four Weddings and a Funeral,"Comedy, Drama, Romance",6.6,Good
353,Higher Learning,"Romance, Drama, Crime",6.4,Good
354,I Like It Like That,"Comedy, Drama, Romance",6.3,Good
355,I Love Trouble,"Action, Comedy, Romance",5.3,Good
356,It Could Happen to You,"Comedy, Drama, Romance",6.1,Good
357,The Jungle Book,"Adventure, Drama, Family",5.9,Good
358,Die Macht der Bilder: Leni Riefenstahl,"Documentary, Foreign",7.3,Good
359,The Lion King,"Family, Animation, Drama",8,Very Good
360,Little Buddha,"Drama, History",6,Good
361,New Nightmare,"Horror, Thriller, Mystery, Fantasy",6.4,Good
362,The Mask,"Romance, Comedy, Crime, Fantasy",6.6,Good
363,Maverick,"Action, Adventure, Comedy, Drama, Western",6.6,Good
364,Mrs. Parker and the Vicious Circle,Drama,6.3,Good
365,The Naked Gun 33⅓: The Final Insult,"Comedy, Crime",6.4,Good
366,The Paper,"Comedy, Drama",6.1,Good
367,Reality Bites,Drama,6.5,Good
368,Red Rock West,"Crime, Drama, Thriller",6.4,Good
369,Ri¢hie Ri¢h,"Comedy, Family",5.4,Good
370,Safe Passage,Drama,4.9,Bad
371,The River Wild,"Action, Adventure, Crime, Thriller",6.1,Good
372,Speed,"Action, Adventure, Crime",6.8,Good
373,Speechless,"Comedy, Romance",5.5,Good
374,Timecop,"Thriller, Science Fiction, Action, Crime",5.5,Good
375,True Lies,"Action, Thriller",6.8,Good
376,When a Man Loves a Woman,"Drama, Romance",6,Good
377,Wolf,Fantasy,6,Good
378,Wyatt Earp,"Drama, Action, Western",6.5,Good
379,Bad Company,"Action, Crime, Romance, Thriller",4.9,Bad
380,A Man of No Importance,"Comedy, Drama",6.5,Good
381,S.F.W.,"Comedy, Drama",6.1,Good
382,A Low Down Dirty Shame,"Action, Comedy, Crime",6,Good
384,Le colonel Chabert,Drama,5.9,Good
385,"Faster, Pussycat! Kill! Kill!","Action, Crime",6.5,Good
386,Jason's Lyric,"Crime, Drama, Romance",5.9,Good
387,The Secret Adventures of Tom Thumb,"Animation, Science Fiction",7.1,Good
388,Street Fighter,"Action, Adventure, Thriller",4.1,Bad
389,Coldblooded,"Action, Comedy",6.7,Good
391,Fall Time,"Action, Adventure, Crime, Drama, Thriller",6.3,Good
392,The Fear,"Horror, Thriller",3.4,Bad
393,Frank and Ollie,Documentary,7.5,Good
396,Mirage,"Action, Thriller",4,Bad
398,Dos Crímenes,,5,Good
399,Brother Minister: The Assassination of Malcolm X,Documentary,4,Bad
400,Highlander III: The Sorcerer,"Action, Fantasy, Science Fiction",4.5,Bad
401,Federal Hill,,5,Good
402,In the Mouth of Madness,"Horror, Mystery, Thriller",7.1,Good
403,8 Seconds,"Drama, Romance",7.2,Good
404,Above the Rim,"Crime, Drama",6.7,Good
405,Addams Family Values,"Comedy, Family, Fantasy",6.5,Good
406,Martin Lawrence: You So Crazy,Comedy,4.5,Bad
407,The Age of Innocence,"Drama, Romance",7,Good
408,Airheads,"Comedy, Crime, Music",5.8,Good
409,The Air Up There,"Comedy, Family",5.1,Good
410,Another Stakeout,"Action, Comedy",4.9,Bad
411,Bad Girls,"Action, Adventure, Comedy, Drama, Western",4.6,Bad
412,Barcelona,"Comedy, Drama, Romance",6.6,Good
413,Being Human,"Drama, Comedy, Fantasy",5,Good
414,The Beverly Hillbillies,Comedy,5,Good
415,Beverly Hills Cop III,"Action, Comedy, Crime",5.5,Good
416,Black Beauty,"Action, Adventure, Drama, Family",6.6,Good
417,Blink,"Mystery, Crime, Drama, Thriller",6.3,Good
418,Blown Away,"Drama, Action, Thriller",6,Good
419,Blue Chips,Drama,5.7,Good
420,Blue Sky,"Drama, Romance",6.1,Good
421,Body Snatchers,"Horror, Science Fiction, Thriller",5.8,Good
422,Boxing Helena,"Drama, Romance",4.5,Bad
423,A Bronx Tale,"Drama, Crime",7.4,Good
424,Cabin Boy,Comedy,4.9,Bad
425,Calendar Girl,"Drama, Comedy",3.7,Bad
426,Carlito's Way,"Action, Crime, Drama, Thriller",7.7,Good
427,City Slickers II: The Legend of Curly's Gold,"Action, Comedy, Drama, Western",4.9,Bad
428,Clean Slate,"Comedy, Thriller, Mystery",5.7,Good
429,Cliffhanger,"Action, Adventure, Thriller",6.1,Good
430,Coneheads,"Comedy, Science Fiction, Family",4.8,Bad
431,Color of Night,"Drama, Mystery, Romance, Thriller",5.4,Good
432,Cops & Robbersons,"Action, Comedy, Family",5,Good
433,The Cowboy Way,"Western, Action, Comedy",5.1,Good
434,Dangerous Game,Drama,5.4,Good
435,Dave,Comedy,6.3,Good
436,Dazed and Confused,"Comedy, Drama",7.4,Good
437,Demolition Man,"Crime, Action, Science Fiction",6.4,Good
438,The Endless Summer 2,Documentary,7.1,Good
439,Even Cowgirls Get the Blues,"Western, Drama, Comedy, Romance",4.2,Bad
440,Fatal Instinct,Comedy,5.4,Good
441,霸王别姬,Drama,7.8,Good
442,The Favor,"Drama, Comedy, Romance",3.3,Bad
443,Fearless,Drama,6.8,Good
444,Fear of a Black Hat,Comedy,5.8,Good
445,With Honors,"Comedy, Drama",6.1,Good
446,Flesh and Bone,"Drama, Mystery, Romance",6.2,Good
447,Widows' Peak,"Comedy, Thriller, Mystery, Romance, Foreign",4.3,Bad
448,For Love or Money,"Comedy, Romance",5.7,Good
449,The Firm,"Drama, Mystery, Thriller",6.6,Good
450,Free Willy,"Family, Adventure",6,Good
451,Fresh,"Crime, Drama, Thriller",7.6,Good
452,The Fugitive,"Adventure, Action, Thriller, Crime, Mystery",7.2,Good
453,Geronimo: An American Legend,"History, Action, Drama, Western",5.9,Good
454,The Getaway,"Drama, Action, Thriller",5.4,Good
455,Getting Even with Dad,"Family, Comedy, Crime",4.5,Bad
456,Go Fish,"Drama, Romance",3.9,Bad
457,A Good Man in Africa,"Comedy, Drama",5.2,Good
458,Guilty as Sin,"Drama, Thriller",5.6,Good
459,Hard Target,"Action, Adventure, Crime, Thriller",6.1,Good
460,Heaven & Earth,"History, War, Action, Drama",6.4,Good
461,Hot Shots! Part Deux,"Action, Comedy, War",6.2,Good
462,Live Nude Girls,Comedy,4.7,Bad
463,The Englishman Who Went Up a Hill But Came Down a Mountain,"Drama, Comedy, Romance",6.1,Good
464,The House of the Spirits,"Romance, Drama",6.7,Good
465,House Party 3,Comedy,4.6,Bad
466,The Hudsucker Proxy,"Comedy, Drama",7.1,Good
467,I'll Do Anything,"Comedy, Drama",5.7,Good
468,In the Army Now,Comedy,4.7,Bad
469,In the Line of Fire,"Action, Drama, Thriller, Crime, Mystery",6.8,Good
470,In the Name of the Father,Drama,7.6,Good
471,The Inkwell,"Comedy, Drama, Romance",3.9,Bad
472,What's Love Got to Do with It,"Drama, Music",6.9,Good
473,Jimmy Hollywood,Comedy,4.6,Bad
474,Judgment Night,"Action, Thriller, Crime",6.4,Good
475,Jurassic Park,"Adventure, Science Fiction",7.6,Good
476,Kalifornia,"Thriller, Crime",6.5,Good
477,Killing Zoe,"Action, Crime, Drama, Thriller",6.1,Good
478,King of the Hill,Drama,6.4,Good
479,Lassie,"Action, Adventure, Drama, Family",6.1,Good
480,Last Action Hero,"Adventure, Fantasy, Action, Comedy, Family",6.1,Good
481,Life With Mikey,"Comedy, Family",5.1,Good
482,Lightning Jack,"Action, Comedy, Western",5.7,Good
483,M. Butterfly,"Drama, Romance",6.6,Good
484,Made in America,Comedy,5.3,Good
485,Malice,"Drama, Crime",5.9,Good
486,The Man without a Face,Drama,6.2,Good
487,Manhattan Murder Mystery,"Comedy, Mystery",7.1,Good
488,Menace II Society,"Drama, Action, Crime",7.2,Good
489,Executive Decision,"Action, Adventure, Drama, Thriller",5.8,Good
490,愛のコリーダ,"Drama, Romance",6.5,Good
491,What Happened Was...,"Thriller, Comedy, Drama, Romance",7,Good
492,Much Ado About Nothing,"Drama, Comedy, Romance",7.2,Good
493,Mr. Jones,"Drama, Romance",5.9,Good
494,Mr. Wonderful,"Comedy, Romance",5.5,Good
495,Mrs. Doubtfire,"Comedy, Drama, Family",7,Good
496,Naked,"Comedy, Drama",7.5,Good
497,The Next Karate Kid,Adventure,4.8,Bad
498,The New Age,"Comedy, Drama",4.8,Bad
499,No Escape,"Action, Drama, Science Fiction, Thriller",6.1,Good
